date,ticker,nav,close,aum,shares_outstanding,daily_share_change,estimated_flow,price_effect,aum_change,residual,premium_discount,quality_flag
2016-11-21,EWY,52.0046,52.16,3037070801,58400000.0,0.0,0.0,-16691596.0,-16691596.0,-0.0,0.299,normal
2016-11-22,EWY,53.0774,53.43,3099720452,58400000.0,0.0,0.0,62649651.0,62649651.0,-0.0,0.664,normal
2016-11-23,EWY,53.4353,52.8,3120620527,58400000.0,0.0,0.0,20900075.0,20900075.0,-0.0,-1.189,normal
2016-11-25,EWY,53.057,53.03,3056081530,57600000.0,-800000.0,-42445577.0,-22093421.0,-64538997.0,1.0,-0.051,normal
2016-11-28,EWY,53.5252,53.03,3083050310,57600000.0,0.0,0.0,26968781.0,26968780.0,-1.0,-0.925,normal
2016-11-29,EWY,53.5705,53.4,3085659072,57600000.0,0.0,0.0,2608762.0,2608762.0,0.0,-0.318,normal
2016-11-30,EWY,53.7797,53.26,3097709395,57600000.0,0.0,0.0,12050323.0,12050323.0,-0.0,-0.966,normal
2016-12-01,EWY,53.864,53.46,3046006372,56550000.0,-1050000.0,-56557148.0,4854125.0,-51703023.0,-0.0,-0.75,normal
2016-12-02,EWY,53.3184,53.29,2996494754,56200000.0,-350000.0,-18661444.0,-30850174.0,-49511618.0,0.0,-0.053,normal
2016-12-05,EWY,53.0703,53.54,2982548949,56200000.0,0.0,0.0,-13945805.0,-13945805.0,0.0,0.885,normal
2016-12-06,EWY,53.9347,53.79,3031132051,56200000.0,0.0,0.0,48583102.0,48583102.0,0.0,-0.268,normal
2016-12-07,EWY,54.2508,54.95,3048892319,56200000.0,0.0,0.0,17760268.0,17760268.0,0.0,1.289,normal
2016-12-08,EWY,55.9143,55.41,3142381805,56200000.0,0.0,0.0,93489487.0,93489486.0,-1.0,-0.902,normal
2016-12-09,EWY,55.3436,55.0,3085407986,55750000.0,-450000.0,-24904638.0,-32069181.0,-56973819.0,1.0,-0.621,normal
2016-12-12,EWY,55.2114,55.06,3078037780,55750000.0,0.0,0.0,-7370206.0,-7370206.0,-0.0,-0.274,normal
2016-12-13,EWY,55.411,55.52,3089160686,55750000.0,0.0,0.0,11122905.0,11122906.0,1.0,0.197,normal
2016-12-14,EWY,55.3661,54.06,3070052629,55450000.0,-300000.0,-16609843.0,-2498213.0,-19108057.0,-1.0,-2.359,normal
2016-12-15,EWY,54.8112,54.19,2995432572,54650000.0,-800000.0,-43848967.0,-30771090.0,-74620057.0,1.0,-1.133,normal
2016-12-16,EWY,54.8179,54.23,2976612024,54300000.0,-350000.0,-19186265.0,365718.0,-18820548.0,-0.0,-1.073,normal
2016-12-19,EWY,54.587,54.26,2961346649,54250000.0,-50000.0,-2729352.0,-12536024.0,-15265375.0,1.0,-0.599,normal
2016-12-20,EWY,54.3888,54.26,2950592020,54250000.0,0.0,0.0,-10754629.0,-10754629.0,-0.0,-0.237,normal
2016-12-21,EWY,53.6018,53.35,2902536279,54150000.0,-100000.0,-5360178.0,-42695564.0,-48055741.0,1.0,-0.47,normal
2016-12-22,EWY,53.3224,52.77,2887407906,54150000.0,0.0,0.0,-15128373.0,-15128373.0,-0.0,-1.036,normal
2016-12-23,EWY,53.095,53.09,2832617716,53350000.0,-800000.0,-42475992.0,-12314197.0,-54790190.0,-1.0,-0.009,normal
2016-12-27,EWY,53.0869,53.08,2832188409,53350000.0,0.0,0.0,-429307.0,-429307.0,0.0,-0.013,normal
2016-12-28,EWY,53.1704,52.99,2836643294,53350000.0,0.0,0.0,4454885.0,4454885.0,-0.0,-0.339,normal
2016-12-29,EWY,53.384,53.54,2848036987,53350000.0,0.0,0.0,11393693.0,11393693.0,0.0,0.292,normal
2016-12-30,EWY,53.3833,53.22,2847998682,53350000.0,0.0,0.0,-38305.0,-38305.0,0.0,-0.306,normal
2017-01-03,EWY,54.165,54.03,2889700563,53350000.0,0.0,0.0,41701881.0,41701881.0,-0.0,-0.249,normal
2017-01-04,EWY,54.1138,54.4,2886971283,53350000.0,0.0,0.0,-2729279.0,-2729280.0,-1.0,0.529,normal
2017-01-05,EWY,54.7952,54.94,2923322426,53350000.0,0.0,0.0,36351143.0,36351143.0,0.0,0.264,normal
2017-01-06,EWY,54.7048,54.34,2918499693,53350000.0,0.0,0.0,-4822733.0,-4822733.0,0.0,-0.667,normal
2017-01-09,EWY,54.0825,54.24,2885300788,53350000.0,0.0,0.0,-33198905.0,-33198905.0,-0.0,0.291,normal
2017-01-10,EWY,54.7074,54.47,2918641017,53350000.0,0.0,0.0,33340229.0,33340229.0,0.0,-0.434,normal
2017-01-11,EWY,55.5002,55.99,2960935136,53350000.0,0.0,0.0,42294119.0,42294119.0,-0.0,0.882,normal
2017-01-12,EWY,56.3641,56.72,3007026869,53350000.0,0.0,0.0,46091732.0,46091733.0,1.0,0.631,normal
2017-01-13,EWY,56.4433,56.69,3011247974,53350000.0,0.0,0.0,4221105.0,4221105.0,-0.0,0.437,normal
2017-01-17,EWY,56.3908,57.08,3008448220,53350000.0,0.0,0.0,-2799755.0,-2799754.0,1.0,1.222,normal
2017-01-18,EWY,56.7132,56.26,3025647086,53350000.0,0.0,0.0,17198866.0,17198866.0,-0.0,-0.799,normal
2017-01-19,EWY,56.3654,56.16,3007095744,53350000.0,0.0,0.0,-18551342.0,-18551342.0,0.0,-0.364,normal
2017-01-20,EWY,56.5356,56.16,3016173193,53350000.0,0.0,0.0,9077449.0,9077449.0,-0.0,-0.664,normal
2017-01-23,EWY,56.8322,56.96,3031996216,53350000.0,0.0,0.0,15823023.0,15823023.0,-0.0,0.225,normal
2017-01-24,EWY,56.8428,56.94,3032564714,53350000.0,0.0,0.0,568498.0,568498.0,0.0,0.171,normal
2017-01-25,EWY,57.0026,57.56,3041086416,53350000.0,0.0,0.0,8521702.0,8521702.0,-0.0,0.978,normal
2017-01-26,EWY,57.8974,57.35,3088825863,53350000.0,0.0,0.0,47739447.0,47739447.0,-0.0,-0.946,normal
2017-01-27,EWY,57.8966,57.2,3088784730,53350000.0,0.0,0.0,-41133.0,-41133.0,-0.0,-1.203,normal
2017-01-30,EWY,57.8939,57.12,3088637911,53350000.0,0.0,0.0,-146819.0,-146819.0,0.0,-1.337,normal
2017-01-31,EWY,57.1695,57.88,3049995226,53350000.0,0.0,0.0,-38642685.0,-38642685.0,0.0,1.243,normal
2017-02-01,EWY,57.7198,57.9,3079350263,53350000.0,0.0,0.0,29355037.0,29355037.0,-0.0,0.312,normal
2017-02-02,EWY,58.0469,58.44,3096801475,53350000.0,0.0,0.0,17451212.0,17451212.0,0.0,0.677,normal
2017-02-03,EWY,58.126,58.91,3101020713,53350000.0,0.0,0.0,4219238.0,4219238.0,-0.0,1.349,normal
2017-02-06,EWY,58.7507,58.81,3134347604,53350000.0,0.0,0.0,33326891.0,33326891.0,-0.0,0.101,normal
2017-02-07,EWY,58.2909,58.23,3109820902,53350000.0,0.0,0.0,-24526702.0,-24526702.0,0.0,-0.104,normal
2017-02-08,EWY,57.8641,58.01,3087052029,53350000.0,0.0,0.0,-22768873.0,-22768873.0,0.0,0.252,normal
2017-02-09,EWY,57.9292,58.07,3090525114,53350000.0,0.0,0.0,3473085.0,3473085.0,-0.0,0.243,normal
2017-02-10,EWY,57.909,58.12,3089443976,53350000.0,0.0,0.0,-1081138.0,-1081138.0,-0.0,0.364,normal
2017-02-13,EWY,57.8509,58.08,3086343914,53350000.0,0.0,0.0,-3100062.0,-3100062.0,-0.0,0.396,normal
2017-02-14,EWY,58.3394,58.14,3112409551,53350000.0,0.0,0.0,26065636.0,26065637.0,1.0,-0.342,normal
2017-02-15,EWY,58.3073,58.8,3110696642,53350000.0,0.0,0.0,-1712908.0,-1712909.0,-1.0,0.845,normal
2017-02-16,EWY,58.4095,58.15,3116149066,53350000.0,0.0,0.0,5452423.0,5452424.0,1.0,-0.444,normal
2017-02-17,EWY,58.1395,57.97,3101740885,53350000.0,0.0,0.0,-14408181.0,-14408181.0,0.0,-0.291,normal
2017-02-21,EWY,58.8383,59.07,3139022025,53350000.0,0.0,0.0,37281140.0,37281140.0,-0.0,0.394,normal
